model_family,model_label,candidate,dataset,dataset_label,model_dataset_label,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,23.034,0.695499,0.412345,0.461454,0.471103,0.354784,0.7009,0.550598,0.449106,0.4,0.511957
logistic_regression,Logistic Regression,logistic_regression_07_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 0.5, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,23.085,0.695499,0.412345,0.461453,0.471099,0.354785,0.700878,0.550599,0.449106,0.4,0.511957
logistic_regression,Logistic Regression,logistic_regression_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,18.018,0.695499,0.412346,0.461456,0.471096,0.354781,0.700878,0.550602,0.449106,0.4,0.511957
logistic_regression,Logistic Regression,logistic_regression_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 0.5, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,18.002,0.695499,0.412345,0.461462,0.471096,0.354781,0.700878,0.550603,0.449106,0.4,0.511957
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 0.25, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,18.219,0.695499,0.412345,0.461455,0.471092,0.354777,0.700878,0.55059,0.449106,0.4,0.511957
logistic_regression,Logistic Regression,logistic_regression_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,16.717,0.692743,0.408931,0.164194,0.469144,0.345881,0.728911,0.231656,0.443196,0.400003,0.496846
logistic_regression,Logistic Regression,logistic_regression_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 0.5, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,16.662,0.69274,0.40893,0.164191,0.469137,0.345858,0.728976,0.231669,0.443179,0.400003,0.496802
logistic_regression,Logistic Regression,logistic_regression_01_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,"{""C"": 0.25, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,14.933,0.692738,0.408927,0.164095,0.46913,0.345782,0.729279,0.231686,0.443127,0.400003,0.496672
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 60, ""n_estimators"": 160}",200000,0.1883,41.785,0.696912,0.416505,0.436412,0.471678,0.348915,0.727718,0.521262,0.451782,0.400003,0.518959
random_forest,Random Forest,random_forest_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""n_estimators"": 200}",200000,0.1883,57.03,0.697304,0.416487,0.432866,0.471186,0.355151,0.699837,0.507196,0.453391,0.4,0.52323
