feature,missing_count,missing_pct,dtype,missingness_band,missingness_type,baseline_use,needs_missing_indicator,recommended_treatment,notes
mths_since_last_record,1116755,83.011,float64,60-95% high,structural_or_informative_public_record_absence,exclude_baseline_challenger_only,True,exclude_from_baseline; test challenger_with_missing_indicator_or_model_native_missing,High missingness; missing can mean no public record. Use only if validation stability justifies it.
mths_since_last_delinq,678743,50.4525,float64,20-60% moderate,structural_or_informative_no_recent_delinquency,keep_with_missing_indicator,True,add_missing_indicator_after_split; impute_with_sentinel_or_model_native_missing,Missingness is likely informative because no delinquency record may exist.
emp_length_years,78511,5.8359,Float64,0-20% low,informative_or_reporting_missingness,keep_baseline,True,median_impute_after_split; add_optional_missing_indicator,Employment length missingness can carry weak risk signal; validate indicator stability.
avg_cur_bal,67549,5.0211,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
total_il_high_credit_limit,67527,5.0194,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
tot_coll_amt,67527,5.0194,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
tot_cur_bal,67527,5.0194,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
bc_util,61912,4.6021,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
bc_open_to_buy,61143,4.5449,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
total_bc_limit,47281,3.5145,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
total_bal_ex_mort,47281,3.5145,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
mort_acc,47281,3.5145,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
acc_open_past_24mths,47281,3.5145,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
revol_util_clean,857,0.0637,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
pub_rec_bankruptcies,697,0.0518,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
dti,374,0.0278,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
collections_12_mths_ex_med,56,0.0042,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
tax_liens,39,0.0029,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
inq_last_6mths,1,0.0001,float64,0-20% low,low_random_or_data_quality,keep_baseline,False,impute_after_split_with_median_or_model_native_missing,Fit imputation only on train after chronological split.
delinq_2yrs,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
int_rate_clean,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
installment,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
grade,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
sub_grade,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
home_ownership,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
annual_inc,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
verification_status,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
purpose,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
credit_history_years,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
fico_mean,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
open_acc,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
pub_rec,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
term_months,0,0.0,Int16,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
total_acc,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
revol_bal,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
loan_amnt,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
acc_now_delinq,0,0.0,float64,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
application_type,0,0.0,string,none,none,keep_baseline,False,no_missing_treatment_needed,No missing values in the cleaned starter frame.
